Day,주거용[㎡],상업용[㎡],공업용[㎡],교육 및 사회용[㎡],기타[㎡]
06-Jan,1016271,1155951,982407,363926,497451
06-Feb,2635073,1447377,1089579,436441,819789
06-Mar,2203712,1763000,1348099,649087,1058935
06-Apr,2821968,1744658,1310982,617645,1124610
06-May,2559673,1897762,1153123,682428,1107667
06-Jun,3462348,1958421,1377719,564583,1515921
06-Jul,1877027,1664484,1133680,967010,1031861
06-Aug,1996641,2418800,1454966,650099,973357
06-Sep,1628142,1737490,1272008,820659,1060670
06-Oct,2504766,1798595,1217630,596243,1005431
06-Nov,3066045,1814176,1434111,616650,1491794
06-Dec,2661639,1569805,1305845,564852,1169261
07-Jan,1288508,1446985,1081863,499745,678343
07-Feb,1766833,1946103,1333596,469848,721436
07-Mar,2378402,2454944,1355061,765507,890249
07-Apr,3329549,2868172,1504430,1091710,1349967
07-May,3132459,2135344,2149255,851832,1551143
07-Jun,4551073,1963026,1192461,598749,1525221
07-Jul,2829100,2040280,1330944,568347,1164287
07-Aug,3308548,1959922,1434490,766880,1122976
07-Sep,2358728,1383082,786738,467887,1007102
07-Oct,2201127,1947707,1400825,1467303,1261309
07-Nov,4358046,3257203,1259653,583506,1608689
07-Dec,1241500,1768250,1325041,551218,1017530
08-Jan,1548098,1751750,1279504,551606,825946
08-Feb,748497,1503441,817391,353376,575374
08-Mar,1240043,1948182,1569247,789809,1068632
08-Apr,1569782,2119799,1849016,571533,983047
08-May,1548865,3372606,1588447,893370,945963
08-Jun,1328226,2049074,1491930,617470,897174
08-Jul,1320807,2268446,1724795,788445,955692
08-Aug,1134701,1528232,1237350,515731,680412
08-Sep,1132277,2059606,1071728,597593,646064
08-Oct,1238028,1656766,1323752,631271,842843
08-Nov,1387907,2008984,1355261,716951,770956
08-Dec,1466213,1353095,1331170,1937855,1114006
09-Jan,768076,745554,693990,682275,757151
09-Feb,650093,960706,512778,395872,529184
09-Mar,2243237,1328550,508022,715452,1252892
09-Apr,1456441,1294657,804708,785183,1120385
09-May,1321052,1601949,1026894,513890,978786
09-Jun,1427111,1837999,900942,763797,1015463
09-Jul,1249677,1742728,732385,923638,853565
09-Aug,2816968,1174209,773859,625356,1061357
09-Sep,1689373,1982459,1209034,628524,991165
09-Oct,3132671,1679978,1081813,556220,1420766
09-Nov,2052121,1704114,1125229,493419,1588485
09-Dec,3452191,1753740,1189857,588398,1384540
10-Jan,2354565,995752,825310,454100,836973
10-Feb,1351050,1747796,827872,715106,710412
10-Mar,1704515,2340757,1391301,789682,1312065
10-Apr,3670761,1797293,1704185,830272,2062746
10-May,1672429,1943428,1353279,739749,1251502
10-Jun,2494937,1705316,1618978,536463,1228600
10-Jul,2295202,1486217,1008251,716034,1218854
10-Aug,2028270,1719775,1356905,661866,991377
10-Sep,1534950,1536861,975820,661287,1096215
10-Oct,2028347,1753363,1213669,586974,1228216
10-Nov,1930594,1869861,1475939,995988,1270215
10-Dec,1349979,1537860,1170820,648151,1167159
11-Jan,1161394,1285569,940599,581448,846599
11-Feb,1700062,1137709,884698,342497,858957
11-Mar,3290950,2605804,1670516,635645,1383594
11-Apr,4339367,2303897,1372542,661465,1594555
11-May,3530105,2238975,1507891,852019,1332545
11-Jun,2337042,2338211,1276075,617609,1346956
11-Jul,2312826,1617745,1472705,437666,898449
11-Aug,3265800,1923505,1130179,696931,1211204
11-Sep,2838961,1950896,1325817,408190,1151897
11-Oct,5483566,1930404,1411321,534926,1928940
11-Nov,4700591,2591495,1441561,555291,1461903
11-Dec,2680659,1949576,996132,533406,1032063
12-Jan,2021323,1413004,672106,398615,1090845
12-Feb,2996436,1816051,1002009,471530,984861
12-Mar,4183498,2065804,1211645,630551,1562423
12-Apr,3508734,2050694,1417930,818748,1274480
12-May,4042711,2892692,1354305,986806,1250212
12-Jun,3481971,2186263,1274916,550299,1225251
12-Jul,2880162,2421127,1120484,711655,858010
12-Aug,3673899,1765966,1121248,811413,1132062
12-Sep,3336868,1729780,1056004,484921,952858
12-Oct,3331533,1893016,1213170,553307,1696103
12-Nov,3705063,2260159,1576230,578364,1849205
12-Dec,2052130,1573072,937072,567244,950288
13-Jan,1791233,1971605,974514,787845,807148
13-Feb,3116628,1435649,1006568,409908,1863247
13-Mar,3627938,2022957,1192286,595375,1164153
13-Apr,3935094,2489175,1436365,715849,1280995
13-May,3034862,2394333,1335670,598627,1025056
13-Jun,3461379,2039073,1052424,521172,1360597
13-Jul,2545426,2085428,1388816,665743,1313282
13-Aug,3271492,2787188,1416996,830675,1030028
13-Sep,3143718,1642886,1195086,385096,1020112
13-Oct,3754280,2698677,1402513,757024,1403012
13-Nov,4131527,2132695,1488349,614400,1433956
13-Dec,5759646,1976862,1030004,485950,1057932
14-Jan,2208314,1257872,548290,482914,716798
14-Feb,3097151,2095484,860425,337191,920543
14-Mar,3745062,3464359,1598396,704151,1126539
14-Apr,4817054,2822812,1449117,537371,1818312
14-May,3514569,2373044,1512612,337682,1211628
14-Jun,3569510,2275504,1312958,508919,1264686
14-Jul,3202157,2247216,1332045,473904,1098259
14-Aug,3425797,2245119,1130700,526952,1064820
14-Sep,4815395,2624104,1335968,487805,1247615
14-Oct,6268545,3053532,1412921,1461948,2114652
14-Nov,5027588,2436050,1300702,407690,1473188
14-Dec,2274637,2233511,1082889,647562,994301
15-Jan,2737356,2538830,777386,448495,1071311
15-Feb,2948885,2157459,895285,379544,861416
15-Mar,6103848,3278453,1524442,685258,1629899
15-Apr,6003310,3873718,1607734,922518,1383160
15-May,5686806,3841836,1286495,964591,1290913
15-Jun,7254713,4556155,1444575,701519,1792165
15-Jul,5014324,3483190,1604243,550492,1565083
15-Aug,5990158,3604998,1125925,594127,1889953
15-Sep,4943918,2832205,1560040,468052,1241740
15-Oct,9279701,3897396,1631684,859889,2461880
15-Nov,7630710,4478632,1290640,537883,2021739
15-Dec,4572710,3298323,1238282,907601,1394841
16-Jan,2619056,2244166,793478,342429,938898
16-Feb,3607595,2908573,1132661,343898,893331
16-Mar,5223778,3833521,1312559,705213,1612000
16-Apr,6854508,3228768,1254326,589039,2529042
16-May,5895655,3623018,1500241,652971,1608072
16-Jun,5289210,3231233,1415461,589792,2267115
16-Jul,5388377,3567712,1412440,674131,1874582
16-Aug,4693286,3113193,1672695,534047,1508694
16-Sep,5370137,2898629,976365,550161,1585304
16-Oct,5071826,3171270,1328437,493336,1732297
16-Nov,7096450,3810709,1343927,855373,2218761
16-Dec,4941174,3298826,1316746,634914,1692129
17-Jan,2899247,2264173,1260814,576789,979838
17-Feb,3681970,2604645,1063598,612990,1166058
17-Mar,4589369,3384180,1460224,682722,1367866
17-Apr,3343209,3519637,1371182,488447,1528554
17-May,3555877,3252151,1325143,650038,1563620
17-Jun,4686124,3062290,1643771,489894,2128345
17-Jul,3569943,2991542,1269431,463144,1611997
17-Aug,4779519,3082586,1315334,529261,1692977
17-Sep,4159700,3974043,1209878,524851,1537339
17-Oct,3303435,2592704,901257,444280,1523986
17-Nov,5190391,3726058,1576168,466991,2329370
17-Dec,4918026,3286019,1045042,476713,2106547
18-Jan,2135304,2891965,941413,566933,1678373
18-Feb,2431040,1920888,628804,392713,1608909
18-Mar,5654651,3143518,1033950,571819,3027743
18-Apr,3665195,3293154,1397625,567363,2574976
18-May,4559152,3838046,1699730,646466,2627369
18-Jun,3496567,2858926,1502310,536422,2010487
18-Jul,2764151,2740241,1349877,694408,1783717
18-Aug,2998141,2852099,1674976,476241,1473807
18-Sep,2491060,3068948,1022563,352472,1876227
18-Oct,2643440,3593548,1536371,456451,2324015
18-Nov,2869988,3037170,1347173,453998,2405090
18-Dec,3224380,2140014,864408,463515,2340436
19-Jan,2113815,2371376,1192622,438659,1899376
19-Feb,2392668,2146293,665129,412482,1856018
19-Mar,3486945,2813243,1516378,481340,2361619
19-Apr,4098393,2665539,1184690,542363,2523080
19-May,3831703,2716266,1637909,486842,2427942
19-Jun,2704028,2606304,1336852,352755,2165710
19-Jul,2684613,2334068,1340101,617571,1960204
19-Aug,2665797,1740432,1226640,307081,2057239
19-Sep,1553559,2001135,1063703,443635,1769099
19-Oct,3133944,2474000,1141982,654888,3141140
19-Nov,2843033,2355142,1482247,559702,2554271
19-Dec,1850218,2262057,1146480,490240,2388747
20-Jan,1593344,1821887,717548,555113,1569699
20-Feb,2048422,1612003,890331,526306,2738262
20-Mar,3311909,3895442,1634466,499500,2959431
20-Apr,3508916,2550887,1324397,877222,2394507
20-May,3731786,3555192,862587,612608,2393904
20-Jun,3542850,2764685,1104429,512031,2454339
20-Jul,3887264,2281864,1428120,530913,2614643
20-Aug,2726009,1928606,1420360,363219,2234716
20-Sep,3743799,2888521,1277785,527123,2466870
20-Oct,3279774,2402944,1250233,459896,1927478
20-Nov,3814695,3383591,1715891,915248,2602435
20-Dec,5071607,2799017,1556870,550184,3086062
21-Jan,2896893,1875366,977904,359106,1531529
21-Feb,3846089,2199042,915240,494892,2826377
